iter	Passed	Remaining
561	2267	1767
562	2271	1763
563	2279	1761
564	2283	1758
565	2286	1753
566	2292	1750
567	2296	1746
568	2299	1741
569	2303	1737
570	2306	1732
571	2313	1730
572	2316	1726
573	2320	1721
574	2326	1719
575	2329	1714
576	2333	1710
577	2336	1705
578	2342	1703
579	2346	1699
580	2349	1694
581	2353	1690
582	2357	1686
583	2361	1682
584	2365	1677
585	2370	1674
586	2376	1672
587	2380	1667
588	2383	1663
589	2386	1658
590	2391	1655
591	2395	1650
592	2398	1646
593	2403	1642
594	2407	1638
595	2410	1634
596	2413	1629
597	2419	1626
598	2424	1622
599	2427	1618
600	2430	1613
601	2433	1609
602	2437	1604
603	2440	1599
604	2443	1595
605	2445	1590
606	2450	1586
607	2455	1583
608	2458	1578
609	2461	1574
610	2465	1569
611	2469	1565
612	2472	1560
613	2475	1556
614	2492	1560
615	2495	1555
616	2499	1551
617	2503	1547
618	2507	1543
619	2510	1538
620	2542	1551
621	2585	1571
622	2589	1566
623	2592	1562
624	2598	1559
625	2603	1555
626	2613	1554
627	2620	1552
628	2627	1549
629	2632	1545
630	2638	1542
631	2642	1538
632	2648	1535
633	2651	1530
634	2655	1526
635	2661	1523
636	2666	1519
637	2669	1514
638	2672	1509
639	2675	1505
640	2680	1501
641	2683	1496
642	2686	1491
643	2689	1486
644	2695	1483
645	2699	1479
646	2703	1474
647	2707	1470
648	2712	1466
649	2715	1462
650	2717	1456
651	2720	1451
652	2724	1447
653	2728	1443
654	2730	1438
655	2733	1433
656	2736	1428
657	2740	1424
658	2743	1419
659	2746	1414
660	2749	1409
661	2751	1404
662	2755	1400
663	2759	1396
664	2762	1391
665	2764	1386
666	2767	1381
667	2771	1377
668	2775	1373
669	2778	1368
670	2781	1363
671	2783	1358
672	2787	1354
673	2791	1350
674	2794	1345
675	2797	1340
676	2800	1335
677	2805	1332
678	2808	1327
679	2811	1322
680	2814	1318
681	2816	1313
682	2821	1309
683	2825	1305
684	2828	1300
685	2833	1297
686	2839	1293
687	2847	1291
688	2856	1289
689	2862	1285
690	2867	1282
691	2871	1278
692	2878	1275
693	2887	1273
694	2894	1270
695	2899	1266
696	2906	1263
697	2909	1258
698	2913	1254
699	2921	1252
700	2925	1247
701	2929	1243
702	2935	1240
703	2939	1235
704	2943	1231
705	2948	1227
706	2951	1223
707	2954	1218
708	2958	1214
709	2961	1209
710	2966	1205
711	2970	1201
712	2973	1196
713	2976	1192
714	2982	1188
715	2985	1184
716	2989	1179
717	2992	1175
718	2998	1171
719	3001	1167
720	3003	1162
721	3006	1157
722	3009	1152
723	3013	1148
724	3016	1144
725	3019	1139
726	3021	1134
727	3024	1129
728	3028	1125
729	3032	1121
730	3035	1117
731	3039	1112
732	3043	1108
733	3047	1104
734	3050	1099
735	3053	1095
736	3058	1091
737	3062	1087
738	3066	1082
739	3069	1078
740	3073	1074
741	3080	1071
742	3084	1066
743	3088	1062
744	3092	1058
745	3097	1054
746	3100	1050
747	3104	1045
748	3111	1042
749	3117	1039
750	3123	1035
751	3131	1032
752	3135	1028
753	3139	1024
754	3143	1020
755	3147	1015
756	3150	1011
757	3154	1007
758	3158	1002
759	3161	998
760	3164	993
761	3167	989
762	3174	986
763	3177	981
764	3179	976
765	3182	972
766	3184	967
767	3188	963
768	3191	958
769	3194	954
770	3197	949
771	3199	944
772	3204	940
773	3206	936
774	3209	931
775	3212	927
776	3214	922
777	3218	918
778	3221	914
779	3224	909
780	3227	905
781	3230	900
782	3235	896
783	3238	892
784	3240	887
785	3243	883
786	3247	878
787	3252	874
788	3256	870
789	3258	866
790	3261	861
791	3264	857
792	3267	853
793	3270	848
794	3273	844
795	3276	839
796	3279	835
797	3283	831
798	3287	826
799	3290	822
800	3293	818
801	3297	814
802	3302	810
803	3305	805
804	3308	801
805	3311	796
806	3315	792
807	3317	788
808	3321	784
809	3324	779
810	3327	775
811	3372	780
812	3379	777
813	3385	773
814	3389	769
815	3392	764
816	3406	762
817	3409	758
818	3412	754
819	3414	749
820	3416	744
821	3419	740
822	3421	735
823	3423	731
824	3426	726
825	3428	722
826	3430	717
827	3433	713
828	3435	708
829	3438	704
830	3440	699
831	3444	695
832	3447	691
833	3450	686
834	3453	682
835	3455	677
836	3459	673
837	3462	669
838	3465	664
839	3469	660
840	3471	656
841	3475	652
842	3479	647
843	3481	643
844	3484	639
845	3487	634
846	3491	630
847	3493	626
848	3496	621
849	3501	617
850	3503	613
851	3508	609
852	3511	605
853	3514	600
854	3517	596
855	3520	592
856	3524	588
857	3534	585
858	3538	580
859	3542	576
860	3544	572
861	3547	567
862	3551	563
863	3558	560
864	3561	555
865	3564	551
866	3567	547
867	3570	542
868	3573	538
869	3576	534
870	3579	530
871	3582	525
872	3585	521
873	3590	517
874	3593	513
875	3596	509
876	3599	504
877	3604	500
878	3607	496
879	3610	492
880	3612	487
881	3615	483
882	3620	479
883	3623	475
884	3627	471
885	3630	467
886	3633	462
887	3638	458
888	3642	454
889	3646	450
890	3651	446
891	3654	442
892	3667	439
893	3670	435
894	3673	430
895	3676	426
896	3679	422
897	3682	418
898	3687	414
899	3689	409
900	3692	405
901	3694	401
902	3697	397
903	3700	393
904	3703	388
905	3705	384
906	3707	380
907	3710	375
908	3712	371
909	3728	368
910	3732	364
911	3734	360
912	3736	356
913	3739	351
914	3741	347
915	3744	343
916	3747	339
917	3750	334
918	3752	330
919	3754	326
920	3757	322
921	3759	318
922	3762	313
923	3765	309
924	3767	305
925	3769	301
926	3772	297
927	3774	292
928	3776	288
929	3779	284
930	3782	280
931	3784	276
932	3786	271
933	3789	267
934	3791	263
935	3794	259
936	3796	255
937	3799	251
938	3801	246
939	3803	242
940	3806	238
941	3808	234
942	3811	230
943	3813	226
944	3816	222
945	3818	217
946	3820	213
947	3823	209
948	3826	205
949	3829	201
950	3832	197
951	3835	193
952	3837	189
953	3840	185
954	3844	181
955	3847	177
956	3850	173
957	3853	168
958	3856	164
959	3860	160
960	3864	156
961	3866	152
962	3869	148
963	3872	144
964	3877	140
965	3880	136
966	3882	132
967	3886	128
968	3890	124
969	3896	120
970	3899	116
971	3903	112
972	3938	109
973	3942	105
974	3945	101
975	3948	97
976	3952	93
977	3956	89
978	3960	84
979	3963	80
980	3966	76
981	3968	72
982	3972	68
983	3976	64
984	3980	60
985	3983	56
986	3988	52
987	3992	48
988	3994	44
989	3997	40
990	4000	36
991	4005	32
992	4008	28
993	4011	24
994	4015	20
995	4022	16
996	4026	12
997	4030	8
998	4034	4
999	4038	0
